,User_id,First_Name,Last_Name,Address,Age,Gender,Rehabilitation,Pet_intimacy,category_name,Pet_Name,log_count,com_count,avg_loading,sum_duration,Zipcode,Country,Country_abbrev,Continent
61,62,Cary,Deckow,"1911 Marlee Stravenue Suite 981
Brayanchester, MI 17257",64,2,1,5.3,'Maltese',Arvilla,4,6,2524.25,87.9,17257, United States,US,NA
62,63,Destiny,Bradtke,"9175 Estelle Wells Suite 663
Nolanberg, AK 61495-0730",26,2,2,0.7,'German Shepherd',Alda,4,4,2212.63,78.4,61495, Poland,PL,EU
63,64,Gonzalo,Streich,"7320 Christina Mall
Hagenesmouth, WV 54198",72,2,1,3.8,'German Shepherd',Nola,5,7,2684.82,123.1,54198, United Kingdom,GB,EU
64,65,Jenifer,Hane,"4563 O'Connell Glen Suite 479
Nelsonmouth, MT 85432-2937",58,1,2,0.3,'Bulldog',Bo,5,9,1819.72,111.0,85432, Poland,PL,EU
65,66,Whitney,Dickinson,"4074 Blair Freeway Suite 212
Reneeland, VA 53404",47,2,1,1.9,'German Shepherd',Elnora,6,7,1989.9,120.6,53404, United States,US,NA
67,68,Adaline,Kozey,"4215 Batz Greens
Labadiehaven, OH 74304",21,2,1,7.2,'Shi-ba-inu',Cordell,2,4,3023.58,47.0,74304, Hungary,HU,EU
68,69,Nicolette,Mertz,"19707 Kenya Centers Suite 246
Josephineborough, NC 92789",89,2,1,9.9,'Poodle',Alf,9,7,2615.14,117.0,92789, Philippines,PH,AS
69,70,Kathryn,Dickinson,"5605 Kevin Circle
North Ari, HI 36934-9898",59,1,2,4.0,'Poodle',Gaetano,3,7,2216.13,63.5,36934, Mexico,MX,NA
70,71,Roxanne,Klocko,"419 Jacobs Lane Suite 561
Marquardtstad, ME 94862-4308",68,1,2,6.2,'German Shepherd',Shaun,9,11,2334.95,190.8,94862, Ukraine,UA,EU
71,72,Makayla,Flatley,"99920 Luz Radial Suite 970
East Kenyonhaven, MN 88749-9749",81,2,2,8.4,'Bulldog',Khalid,4,1,2931.69,51.2,88749, Philippines,PH,AS
72,73,Anahi,Ward,"95963 Mayer Mountains Suite 082
Rempelhaven, MN 33434",56,1,1,5.8,'German Shepherd',Lorenz,2,6,1887.86,40.7,33434, United States,US,NA
73,74,Manuela,Upton,"7921 Rice Highway Apt. 127
Zemlakhaven, IN 56645",16,1,2,9.2,'Shi-ba-inu',Art,3,5,2870.83,54.9,56645, Germany,DE,EU
74,75,Bradly,Schoen,"41284 West Trace
Lake Elishaburgh, IA 20436",53,1,1,8.2,'Shi-ba-inu',Dina,4,2,1920.83,54.5,20436, Mexico,MX,NA
75,76,Naomi,Sipes,"1203 Gerda Parkway Suite 355
Port Christyville, IN 08396-9348",22,1,1,7.9,'Poodle',Allen,2,5,1824.43,59.7,08396, Germany,DE,EU
76,77,Bryana,Lubowitz,"8899 Micheal Fords
Lewisview, MO 12473",44,1,1,5.4,'Shi-ba-inu',Pearline,7,3,2019.69,138.7,12473, United States,US,NA
77,78,Savion,Deckow,"747 Rath Pass
East Karsonport, OH 14521",55,1,1,8.2,'Shi-ba-inu',Glenda,1,9,,,14521, United States,US,NA
78,79,Elza,Grady,"795 Schmidt Inlet
Friesentown, AK 67078-5448",55,2,2,5.1,'Bulldog',Sylvester,3,5,2264.81,49.8,67078, Spain,ES,EU
79,80,Roselyn,Cormier,"797 Solon Extension
Daughertyfort, MS 61825-9788",61,1,1,8.1,'Golden Retriever',Jaida,4,9,2726.34,60.0,61825, Poland,PL,EU
81,82,Verlie,Moore,"686 Joannie Flats Suite 015
North Royce, SC 65664",12,2,2,3.7,'Bulldog',Georgianna,4,1,2778.02,110.1,65664, United States,US,NA
82,83,Raheem,Heathcote,"92551 Lottie Brooks Suite 620
North Urielfurt, MD 62777-6980",71,1,2,3.0,'Bulldog',Laurianne,6,7,2266.44,90.9,62777, United States,US,NA
83,84,Dixie,Pouros,"6613 Josiane Turnpike
Emmerichtown, WY 14088",27,1,2,1.0,'German Shepherd',Amos,2,5,2914.87,35.6,14088, South Korea,KR,AS
84,85,Estell,Herzog,"61433 Von Glen Suite 666
New Jovani, FL 51433",27,1,1,5.7,'Maltese',Lonie,1,3,2783.93,15.0,51433, Lithuania,LT,EU
85,86,Osbaldo,Weimann,"49311 Powlowski Hollow
East Abelardo, MA 58770-5151",37,2,1,8.6,'Bulldog',Jude,3,7,2780.87,42.8,58770, Finland,FI,EU
86,87,Fritz,Weimann,"15673 Collins Plain Suite 725
New Jaydon, MT 63473-5118",38,2,1,7.0,'Maltese',Maureen,7,4,2124.19,119.5,63473, United States,US,NA
87,88,Roxanne,Deckow,"952 Lubowitz Unions
Kubburgh, IN 62378",24,1,1,1.9,'Bulldog',Jeramy,5,5,2970.82,93.4,62378, United States,US,NA
88,89,Maribel,Prosacco,"6586 Prohaska Rapids
Lisandroburgh, NM 60030-3013",25,1,2,9.1,'Shi-ba-inu',Kenton,4,5,2192.8,75.8,60030, Italy,IT,EU
89,90,Ashtyn,Maggio,"1148 Ansel Mountains
Port Adolphus, FL 56954",37,2,1,3.8,'Bulldog',Braeden,5,4,2645.96,50.9,56954, Canada,CA,NA
90,91,Leta,Bashirian,"27986 Helga River
North Bessieport, LA 27361",27,2,2,2.8,'Poodle',Estella,10,3,2132.7,142.2,27361, South Korea,KR,AS
91,92,Eileen,Crona,"568 Green Heights
Lake Jace, IA 83649-4554",74,1,1,5.8,'Poodle',Shea,2,3,1628.54,23.8,83649, Italy,IT,EU
92,93,Kallie,Bode,"22640 Garett Locks Apt. 054
South Hilmachester, WI 35228",28,2,2,1.3,'German Shepherd',Ike,4,6,2042.97,67.0,35228, United States,US,NA
93,94,Dax,Schumm,"6788 Etha Streets
Hicklefurt, WY 73134",68,1,1,7.0,'Bulldog',Neha,7,8,2486.62,124.1,73134, United States,US,NA
94,95,Milton,Bins,"061 Aron Ferry
Lake Diamondshire, NH 62453-7786",37,2,1,3.2,'Maltese',Vergie,4,6,2684.97,40.6,62453, Sweden,SE,EU
95,96,Cheyanne,Skiles,"1785 Kemmer Well Suite 117
South Milofurt, AZ 56494-4335",75,2,1,1.1,'Golden Retriever',Werner,3,2,2418.73,93.6,56494, Spain,ES,EU
96,97,Humberto,Hegmann,"925 Libbie Street
Okunevaside, CT 44691",70,2,1,2.7,'Shi-ba-inu',Diana,5,4,2146.8,69.3,44691, South Korea,KR,AS
97,98,Zoe,Daugherty,"965 Heaney Shore Suite 493
Andersonfort, CT 31879-6440",15,1,1,4.3,'Maltese',Alexandrine,3,5,2491.16,52.8,31879, Spain,ES,EU
98,99,Chasity,Hermiston,"9094 Luella Drive
Micahchester, MI 40544",64,2,2,3.5,'German Shepherd',Maia,5,4,2726.38,82.3,40544, Poland,PL,EU
99,100,Eliseo,Zulauf,"744 Klein Lock Suite 765
Stantonbury, TN 91335-9953",78,2,2,5.4,'Shi-ba-inu',Drake,1,4,,,91335, United States,US,NA
100,101,Jerry,Schaden,"415 Vivianne Run Suite 233
Hickleport, VT 52083",61,2,2,6.0,'Bulldog',Reid,7,4,2081.03,114.7,52083, Canada,CA,NA
101,102,Grant,Deckow,"628 Preston Villages
Yadirahaven, MN 41096",22,2,1,0.8,'Bulldog',Clifton,7,4,2554.35,109.3,41096, Canada,CA,NA
103,104,Felton,Hudson,"405 Jaylin Shoal Suite 071
Port Macie, OR 53626",18,1,1,9.6,'Bulldog',Deangelo,4,6,2380.93,82.1,53626, Poland,PL,EU
104,105,Jamir,Satterfield,"42644 Altenwerth Pines Suite 712
Weimannside, CA 29160",24,1,1,1.7,'Maltese',Rudy,3,2,2457.7,57.8,29160, France,FR,EU
105,106,Maximillian,Nader,"4116 Tanner Camp
North Ludwig, GA 20142",33,1,1,7.1,'Golden Retriever',Ollie,1,6,,,20142, Italy,IT,EU
106,107,Suzanne,Waters,"07506 Lubowitz Coves
West Noemie, MS 54525-7351",57,1,1,6.7,'Maltese',Jaylen,8,3,2579.0,89.9,54525, United States,US,NA
107,108,Garfield,Torp,"02589 Litzy Junction
Framihaven, NE 21978",68,2,1,4.7,'German Shepherd',Jayson,4,2,2856.0,82.4,21978, South Korea,KR,AS
108,109,Adalberto,McLaughlin,"30496 Bernhard Parks Apt. 045
Laurynberg, AR 73918-6215",13,1,2,2.0,'Golden Retriever',Marlee,3,3,1821.18,26.5,73918, Italy,IT,EU
109,110,Roxane,Sipes,"2250 Albert Plaza
Priceshire, OK 85743-7091",49,2,2,4.1,'Maltese',Mario,4,3,2698.35,115.2,85743, United States,US,NA
112,113,Vincent,Bode,"194 Dicki Mountains Apt. 427
Port Beth, AK 11156",88,2,1,0.4,'Golden Retriever',Diamond,4,2,2375.04,75.6,11156, Morocco,MA,AF
113,114,Geo,Hayes,"376 Gloria Center
New Cheyanne, FL 36911",53,1,2,5.0,'Poodle',Jaylen,5,1,2533.26,84.3,36911, Spain,ES,EU
114,115,Philip,Rutherford,"75597 O'Reilly Garden
Welchland, CO 33234",28,2,2,1.8,'German Shepherd',Delta,6,10,1698.4,71.7,33234, Argentina,AR,SA
115,116,Jasper,Ruecker,"248 Elisa Wells Suite 304
Xaviermouth, TX 91601",45,2,2,8.3,'Poodle',Stephania,6,8,2659.23,89.3,91601, United States,US,NA
116,117,Gregory,Ondricka,"828 Bergnaum Station
West Kristastad, DE 45655-1955",75,1,1,2.0,'Maltese',Louvenia,5,5,2762.01,62.7,45655, Mexico,MX,NA
117,118,Otha,Toy,"708 Lemke Mill Suite 883
Darrelport, NJ 77420",73,1,1,0.3,'Shi-ba-inu',Chelsie,6,2,2789.8,116.9,77420, France,FR,EU
118,119,Thelma,Parisian,"427 Zieme Estates Suite 052
Buckridgeburgh, ME 41092-1815",55,1,1,6.9,'Maltese',Modesto,10,9,2657.71,206.4,41092, Spain,ES,EU
119,120,Samson,Stanton,"6187 Darwin Square Suite 387
South Jaycee, PA 21639",34,1,2,6.7,'Maltese',Regan,4,4,3038.49,35.0,21639, United States,US,NA
120,121,Jocelyn,Kassulke,"41872 Aimee Key
Devanteburgh, WA 57661-5615",62,1,1,8.0,'Golden Retriever',Melody,4,7,2320.61,61.7,57661, United States,US,NA
121,122,Trycia,Monahan,"701 Cremin Land Suite 279
Lake Claude, AZ 63705",56,1,2,3.2,'Golden Retriever',Alicia,6,9,2208.93,165.9,63705, Estonia,EE,EU
122,123,Jacklyn,Lemke,"1811 Brekke Forges Suite 330
Lake Davidshire, PA 65664-9471",62,1,2,2.0,'Shi-ba-inu',Aurore,6,6,3019.11,77.4,65664, United States,US,NA
123,124,Ardella,Predovic,"3993 Hauck Fields Apt. 927
South Abagail, AR 99625",70,2,2,2.8,'Golden Retriever',Milan,4,2,2230.08,71.6,99625, United States,US,NA
124,125,Hayden,Durgan,"320 Kautzer Trafficway Suite 815
East Monserrate, NY 03114",15,2,2,6.4,'Bulldog',Bria,8,4,2146.86,187.0,03114, Lithuania,LT,EU
125,126,Hollis,Gottlieb,"69726 Van Unions
New Laurianne, ME 18303-5425",59,2,1,4.1,'Shi-ba-inu',Ernie,3,4,2828.87,40.2,18303, Ireland,IE,EU
126,127,Emilie,Cremin,"02560 Macejkovic Prairie
Malikaborough, VA 36724-3653",16,1,2,5.2,'Shi-ba-inu',Gust,5,6,2285.55,38.8,36724, Mexico,MX,NA
127,128,Danielle,Bernier,"658 Armstrong Manors
Port Dominic, AK 47171",34,1,1,8.4,'Poodle',Dulce,6,4,2744.79,70.8,47171, Mexico,MX,NA
128,129,Adrien,Hauck,"9443 Keeling Club
Emiliaside, KS 26660-4147",46,2,1,1.1,'Maltese',Darren,6,5,2434.92,133.8,26660, Finland,FI,EU
129,130,Constantin,Armstrong,"131 Chaya Cove Apt. 525
Erickhaven, WY 50152",68,2,1,7.4,'Bulldog',Blaise,5,3,2235.45,76.0,50152, Lithuania,LT,EU
130,131,Ola,Jaskolski,"92943 Schneider Forks
New Adrianville, NE 78138-6205",42,2,1,0.4,'Bulldog',Burdette,6,6,2207.94,102.8,78138, United States,US,NA
131,132,Sebastian,Lakin,"56328 Trey Burg
Kuphalside, IN 98528",53,1,1,4.8,'Golden Retriever',Milton,7,7,2634.12,98.1,98528, United States,US,NA
132,133,Duncan,Corkery,"038 Blick Squares
Joannyberg, AL 87075-3169",49,2,2,7.8,'Poodle',Camren,5,7,2818.03,66.3,87075, Italy,IT,EU
133,134,Krystel,Smith,"63125 Howe Union Apt. 770
Schroederville, LA 43610-3823",38,1,1,7.6,'Golden Retriever',Casey,5,4,2462.51,87.1,43610, United States,US,NA
134,135,Duncan,Nader,"3139 Reynolds Prairie
New Zolaview, NY 12654-2709",85,2,1,3.1,'Bulldog',Leopoldo,3,5,2378.08,50.4,12654, Egypt,EG,AF
135,136,Ayla,Ratke,"034 Kohler Grove
West Cameronmouth, OH 52911",88,2,1,5.0,'Shi-ba-inu',Ahmed,3,6,2745.37,52.1,52911, Ukraine,UA,EU
136,137,Nigel,Williamson,"7301 Kaylee Mountain Apt. 208
Lake Timothy, PA 01381-2920",77,2,2,0.6,'Bulldog',Vidal,11,4,2460.11,202.4,01381, Poland,PL,EU
137,138,Hollis,Pfannerstill,"313 Alfred Estate Suite 874
Williamsonview, TX 44862",41,2,2,1.6,'Golden Retriever',Uriel,4,5,2936.37,56.3,44862, United States,US,NA
138,139,Hayley,Grady,"599 Delia Ways
South Rosa, SC 52061-3676",54,1,2,7.5,'Bulldog',Margarita,5,10,3155.27,44.5,52061, Ukraine,UA,EU
139,140,Marian,Cormier,"428 Wisoky Circles
Weissnatburgh, DE 04000",25,2,1,2.6,'Maltese',Karine,4,3,2814.4,55.7,04000, Mexico,MX,NA
140,141,Caleb,Berge,"47433 Kenyatta Villages
Lake Brockport, NV 74245",73,1,1,6.4,'Bulldog',Brian,4,6,2844.09,60.9,74245, Germany,DE,EU
141,142,Ralph,Funk,"7736 Wellington Flat Suite 381
Anabellebury, WA 57712",71,2,2,3.8,'Maltese',Fritz,1,5,28.5,8.8,57712, Indonesia,ID,AS
142,143,Chauncey,Kirlin,"480 White Light
Lloydville, ND 64519-1198",68,1,2,6.3,'Poodle',Cara,5,4,2913.22,89.6,64519, Germany,DE,EU
143,144,Marcelo,Rau,"608 Lionel Glens
East Emilyberg, CT 76786-2289",41,1,2,3.5,'Bulldog',Maude,4,7,2639.89,99.3,76786, Italy,IT,EU
144,145,Wellington,Pagac,"19013 Samara Fort
West Antoneport, MA 53685",61,2,1,0.9,'Bulldog',Lauryn,7,4,2051.32,128.5,53685, United Kingdom,GB,EU
145,146,Arno,West,"70711 Dach Road
New Sallytown, VT 55886-7502",46,1,1,4.6,'German Shepherd',Jaylan,2,2,2366.33,46.2,55886, Mexico,MX,NA
146,147,Dejon,Cole,"9336 Konopelski Mall Suite 452
O'Haraburgh, GA 59346",47,1,2,9.9,'German Shepherd',Jacinto,7,3,2261.11,95.7,59346, Ukraine,UA,EU
147,148,Kevin,Stamm,"868 Nitzsche Ridge Suite 679
Minamouth, WY 79607-8951",61,1,2,1.6,'Shi-ba-inu',Isidro,3,3,2587.87,26.2,79607, United States,US,NA
148,149,Lily,Sporer,"8884 Urban Tunnel
Nienowport, IA 23008",63,1,1,7.3,'Golden Retriever',Jacinthe,3,10,2789.22,56.9,23008, South Korea,KR,AS
149,150,Keegan,Ritchie,"79447 Tracey Forges Suite 939
North Alanis, NE 04706",41,2,1,0.3,'Bulldog',Jacinto,1,3,1673.13,8.5,04706, United States,US,NA
150,151,Edgardo,Breitenberg,"094 Jerde Club Apt. 830
Dameontown, WV 97384-4675",19,1,2,5.7,'German Shepherd',Beaulah,5,11,2794.23,91.0,97384, United States,US,NA
151,152,Herminio,Hamill,"088 Little Spur Apt. 241
Hyattfurt, CA 21512",43,2,2,0.1,'Poodle',Leanne,8,2,2048.84,97.2,21512, Egypt,EG,AF
152,153,Reta,Schulist,"5888 Walsh Throughway
West Mathewhaven, FL 43905-7752",71,1,2,7.3,'Shi-ba-inu',Enos,3,5,2595.8,59.5,43905, United States,US,NA
153,154,Kip,Heaney,"314 Schinner Crossroad Suite 382
Toneyberg, CT 38442",46,2,1,7.9,'Shi-ba-inu',Eleanora,5,1,2494.15,118.4,38442, Germany,DE,EU
154,155,Ruben,Bradtke,"4218 Lavon Gateway
Stammmouth, RI 71928-9566",90,1,1,7.3,'Bulldog',Vada,10,5,2515.92,139.3,71928, Brazil,BR,SA
155,156,Julius,Schneider,"09354 Parker Path
Yostport, AR 92337-9503",50,2,1,9.4,'Maltese',Judge,8,6,2054.17,79.7,92337, United States,US,NA
156,157,Deontae,Kunze,"58720 Morar Points
Minahaven, NM 18836-0355",39,1,2,8.3,'Shi-ba-inu',Jonatan,1,1,1484.2,17.7,18836, Finland,FI,EU
157,158,Marco,Frami,"11958 Angeline Islands
Ornfurt, DC 70447-0365",87,2,2,2.2,'Bulldog',Candido,9,6,2607.57,151.7,70447, United States,US,NA
158,159,Leonard,Barrows,"3905 Eric Common Apt. 108
Lake Virginie, UT 93663",47,1,2,1.8,'Golden Retriever',Earnestine,3,4,2272.98,35.9,93663, Argentina,AR,SA
159,160,Cassandra,Robel,"20064 Leannon Ridge Suite 680
South Justice, LA 63650",28,2,2,8.1,'German Shepherd',Landen,4,1,2260.28,93.8,63650, France,FR,EU
161,162,Gregory,Bins,"4505 Hoeger Walk
Anastaciomouth, NE 63729-8763",45,2,2,9.0,'Poodle',Melany,7,6,2456.0,139.0,63729, Mexico,MX,NA
