,User_id,First_Name,Last_Name,Address,Age,Gender,Rehabilitation,Pet_intimacy,category_name,Pet_Name,log_count,com_count,avg_loading,sum_duration,Zipcode,Country,Country_abbrev,Continent,User_satisfication
13,14,Presley,Rogahn,"478 Keven Isle
Litzyfort, HI 08272-8020",50,1,2,0.2727272727272727,'Golden Retriever',Warren,0.6666666666666666,0.08333333333333333,0.509770126664899,0.4667992047713717,08272, Spain,ES,EU,4.566360885144325
14,15,Nelda,Farrell,"51678 Diamond Squares
O'Harashire, SD 42801",21,2,2,0.2424242424242424,'Golden Retriever',Easton,0.25,0.5,0.4633610051604218,0.4147117296222664,42801, South Korea,KR,AS,3.8646321660737297
15,16,Talia,McCullough,"646 Schimmel Junctions
Arjunburgh, NY 06380-5230",78,2,2,0.2424242424242424,'German Shepherd',Rodolfo,0.6666666666666666,0.5833333333333334,0.440006527015726,0.690258449304175,06380, United States,US,NA,5.860131233323336
16,17,Scotty,Heaney,"457 Sven Valleys
Monicachester, NE 42037",23,2,1,0.0,'Shi-ba-inu',Vince,0.3333333333333333,0.3333333333333333,0.5348399861300915,0.16143141153081508,42037, South Korea,KR,AS,4.6805656322533515
17,18,Lavon,Hansen,"666 Alfreda Parkways Apt. 700
Krisfort, MD 68747",16,2,1,0.09090909090909091,'Golden Retriever',Rahul,0.08333333333333333,0.3333333333333333,0.3208252595508598,0.15984095427435385,68747, United States,US,NA,4.051098167557366
19,20,Murray,Waters,"104 Rippin Plains Apt. 037
South London, AZ 92044",75,1,1,0.29292929292929293,'Shi-ba-inu',Xavier,0.5,0.16666666666666666,0.5437208069023192,0.5932405566600398,92044, France,FR,EU,6.876278993138438
20,21,Perry,Zulauf,"8253 Misael Ports
North Ronny, MT 75336",53,1,1,0.3939393939393939,'Shi-ba-inu',Ezekiel,0.3333333333333333,0.5833333333333334,0.5994166479694862,0.321272365805169,75336, Poland,PL,EU,6.028445505129556
21,22,Green,Metz,"505 O'Kon Estates Apt. 000
Raphaellemouth, WY 67511-3135",64,1,2,0.7575757575757576,'Shi-ba-inu',Jevon,0.16666666666666666,0.25,0.40834438166724457,0.23180914512922465,67511, Estonia,EE,EU,3.176490053093234
22,23,Royal,Bahringer,"8334 Precious Mall
Denaview, NC 67991",81,1,1,0.8080808080808081,'Maltese',Tina,0.25,0.3333333333333333,0.4681991555673405,0.2974155069582505,67991, Argentina,AR,SA,5.7992753248144835
23,24,Alec,Stroman,"5024 Jordi Passage
Maeganview, VT 17900-6595",71,1,1,0.7070707070707071,'Shi-ba-inu',Bettie,0.5,0.5,0.5592612234075102,0.341948310139165,17900, South Korea,KR,AS,6.634125171034877
24,25,Wilburn,Spinka,"78456 Schoen Way
North Norrisstad, WY 80355",29,2,1,0.1313131313131313,'Bulldog',Velva,0.4166666666666667,0.25,0.553395068023742,0.4095427435387674,80355, Ukraine,UA,EU,5.906212506825277
26,27,Simone,Hermann,"55871 Grady Views
New Horace, AL 26489",57,2,2,0.9292929292929294,'German Shepherd',Archibald,0.4166666666666667,0.6666666666666666,0.5655149203500113,0.29542743538767396,26489, South Korea,KR,AS,4.676517591193638
27,28,Barney,Hahn,"858 Grimes Mountain
New Rosamond, HI 27867",61,1,1,0.0,'Maltese',Carlee,0.25,0.4166666666666667,0.5122932261814919,0.2886679920477137,27867, Spain,ES,EU,5.083631861039013
28,29,Ari,Roob,"83351 Will Lane Apt. 334
Juliusside, AR 03473-5869",82,1,2,0.5858585858585859,'German Shepherd',Gussie,0.4166666666666667,0.4166666666666667,0.5064087135659943,0.3570576540755467,03473, Poland,PL,EU,4.270497915726768
29,30,Janae,Adams,"735 McDermott Row
Matildeland, CT 28480",53,2,2,0.1313131313131313,'Golden Retriever',Cecilia,0.5833333333333334,0.25,0.5428845330124217,0.4723658051689861,28480, France,FR,EU,4.480327551668164
30,31,Judd,White,"719 Kaya Walks
West Keira, SD 12940",68,2,1,0.08080808080808081,'Bulldog',Jaiden,0.3333333333333333,0.16666666666666666,0.5078324188712342,0.4099403578528827,12940, Mexico,MX,NA,5.561735264424179
31,32,Gia,Pfeffer,"1951 Jammie Green Apt. 725
New Cathrine, NM 06637-8914",47,2,1,0.3939393939393939,'Maltese',Destinee,0.4166666666666667,0.25,0.5689171272972036,0.35427435387673956,06637, South Korea,KR,AS,5.96328727007689
32,33,Odessa,Herzog,"995 Hermann Park
Isadoremouth, RI 11240",88,2,1,0.7070707070707071,'Maltese',Valentine,0.3333333333333333,0.3333333333333333,0.5144716176800539,0.21510934393638168,11240, France,FR,EU,5.581979700496288
33,34,Hector,Zulauf,"5487 Considine Skyway
South Aubree, TN 02066",72,1,2,0.5050505050505051,'German Shepherd',Kyler,0.4166666666666667,0.5,0.48554062047443247,0.5312127236580518,02066, United States,US,NA,4.948775353490479
34,35,Cooper,Torp,"286 Thea Branch Apt. 678
Ankundington, ME 68589-1410",57,1,1,0.898989898989899,'Poodle',Marie,0.16666666666666666,0.3333333333333333,0.5781916087054072,0.0437375745526839,68589, Brazil,BR,SA,4.818798472572708
35,36,Jewel,Gorczany,"398 Gutkowski Drive Suite 523
Marshallside, MD 44112",46,1,1,0.7070707070707071,'German Shepherd',Eula,0.5833333333333334,0.5833333333333334,0.44992147184204623,0.48031809145129223,44112, United States,US,NA,7.328264544717923
36,37,Fay,Schaden,"437 Roslyn Haven Suite 909
New Jalon, IA 41944-9690",34,1,1,0.3939393939393939,'Shi-ba-inu',Carlie,0.0,0.16666666666666666,0.13404858547331064,0.006361829025844929,41944, South Korea,KR,AS,3.2201019621827514
37,38,Skylar,Yundt,"1800 Murphy Forges Suite 543
Schummberg, SD 98665-0154",85,1,1,0.050505050505050504,'Poodle',Kareem,0.08333333333333333,0.4166666666666667,0.35365614865278316,0.07157057654075547,98665, United States,US,NA,3.77377683865419
38,39,Catharine,McGlynn,"05502 Bernice Field
Port Gerhard, AK 03263-6000",31,2,2,0.1414141414141414,'Bulldog',Preston,0.08333333333333333,0.4166666666666667,0.6453097272931243,0.10974155069582506,03263, United States,US,NA,2.3090234048238996
39,40,Gardner,Swaniawski,"33539 Holden Trail Apt. 696
Jastville, MO 37046",44,1,2,0.6363636363636365,'Shi-ba-inu',Colin,0.08333333333333333,0.25,0.3908050665959573,0.06679920477137177,37046, Italy,IT,EU,2.2110321887117474
40,41,Berry,Spencer,"446 Erdman Ridges Apt. 100
North Clementina, SD 86239-8523",90,1,2,0.5050505050505051,'Poodle',Sonia,0.3333333333333333,0.25,0.5910416709160259,0.30059642147117294,86239, Canada,CA,NA,3.7151445285178895
42,43,Easter,Dare,"371 Granville Spring
Consueloshire, HI 03107-2820",74,2,2,0.22222222222222218,'Bulldog',Martina,0.5833333333333334,0.5,0.588598119403594,0.6393638170974155,03107, Lithuania,LT,EU,5.534942276682145
43,44,Sanford,Howell,"6867 Suzanne Roads
Jerrellshire, CT 36716",16,2,1,0.30303030303030304,'Maltese',Dolores,0.08333333333333333,0.16666666666666666,0.55979154343525,0.18687872763419483,36716, Russia,RU,EU,4.443670090335666
44,45,Cecelia,Gleason,"93350 Matilda Heights Apt. 222
New Jarrett, RI 62733",49,2,1,0.888888888888889,'German Shepherd',Jessie,0.25,0.3333333333333333,0.5068758031288881,0.21312127236580514,62733, Ukraine,UA,EU,5.581583114814332
45,46,Eleanore,Kutch,"9673 Reichert Curve
Melynamouth, MO 99749",78,2,1,0.8282828282828284,'German Shepherd',Tatum,0.4166666666666667,0.08333333333333333,0.5150060170926225,0.44294234592445325,99749, United States,US,NA,6.531724895739931
46,47,Allie,Hammes,"593 Williamson Springs Suite 840
West Violet, NV 79634-6381",33,2,2,0.35353535353535354,'Golden Retriever',Norbert,0.25,0.6666666666666666,0.4499133130723887,0.278727634194831,79634, Estonia,EE,EU,3.5850258700537325
47,48,Art,Sanford,"71609 Aufderhar Parks
East Kaylah, FL 69256",14,1,2,0.010101010101010102,'Bulldog',Jewell,0.4166666666666667,0.25,0.454643359781345,0.3268389662027833,69256, Germany,DE,EU,3.355433568026822
48,49,Kadin,Kihn,"22780 Dessie Court Apt. 335
New Bradlyborough, DE 67243-1431",36,1,2,0.787878787878788,'Shi-ba-inu',Effie,0.08333333333333333,0.5833333333333334,0.5331123666551084,0.11729622266401592,67243, Ukraine,UA,EU,3.04017604518996
49,50,Quinton,Rodriguez,"84335 Yundt Extensions
New Norwoodborough, ID 68015",51,1,1,0.1414141414141414,'Shi-ba-inu',Angel,0.4166666666666667,0.3333333333333333,0.4538805148183654,0.673558648111332,68015, United States,US,NA,6.956195915344502
50,51,Lexie,Denesik,"5444 Hahn Lodge
D'Amorechester, MO 50558",85,2,2,0.898989898989899,'Poodle',Blair,0.16666666666666666,0.6666666666666666,0.7136598200991291,0.21829025844930416,50558, South Korea,KR,AS,3.9858107528862448
51,52,Alex,Hermiston,"1738 Lueilwitz Mall
Cordeliaborough, NM 53184",20,2,2,0.5151515151515151,'Maltese',Jefferey,0.4166666666666667,0.25,0.6147041426152936,0.3773359840954274,53184, United States,US,NA,4.2225329274818515
52,53,Letha,Bergstrom,"9589 Gutkowski Lock
Emmittberg, NE 48679",75,2,2,0.45454545454545453,'Bulldog',Manuel,0.08333333333333333,0.08333333333333333,0.5999184123034246,0.1021868787276342,48679, Argentina,AR,SA,2.213211381759416
53,54,Reese,Thiel,"49524 Karli Avenue Apt. 689
West Brain, NE 20714",54,2,2,0.1616161616161616,'Bulldog',Bernice,0.25,0.0,0.4784363717951333,0.17733598409542742,20714, United States,US,NA,2.349396469793005
54,55,Donnell,Cronin,"922 Julius Mall
Auerview, CA 32391",31,1,1,0.787878787878788,'Bulldog',Lavinia,0.5833333333333334,0.3333333333333333,0.603347135252004,0.42902584493041745,32391, United States,US,NA,7.107329302852462
55,56,Zane,Sipes,"32478 Watsica Union
Gottliebborough, IN 16768",37,1,2,0.9090909090909091,'Poodle',Lauretta,0.16666666666666666,0.4166666666666667,0.4059864972362168,0.2504970178926441,16768, United States,US,NA,3.567065477897703
56,57,Jadon,Altenwerth,"38668 Cruickshank Throughway
South Baylee, SD 02189",25,2,2,0.8585858585858586,'Golden Retriever',Malvina,0.4166666666666667,0.5,0.6167519937993351,0.40357852882703776,02189, Lithuania,LT,EU,4.922985301026678
57,58,Bertrand,Quigley,"5125 Peggie Prairie Apt. 512
East Buster, AK 99223-5764",67,1,1,0.25252525252525254,'Shi-ba-inu',Elissa,0.5,0.25,0.5914598078609746,0.38290258449304176,99223, United States,US,NA,6.125595398358394
58,59,Morris,Johnston,"72773 Fae Passage
New Elwyntown, MI 00656",77,1,2,0.5252525252525253,'Poodle',Ova,0.16666666666666666,0.08333333333333333,0.5629693842168602,0.10298210735586481,00656, United States,US,NA,2.4168170055595115
59,60,Cary,Bergstrom,"33827 Hintz Meadow
Moorefort, VA 88145",19,2,2,0.25252525252525254,'Bulldog',Brisa,0.5,0.5,0.4740693903359373,0.4385685884691849,88145, Germany,DE,EU,4.48086899673793
60,61,Vilma,Tromp,"69130 Freida Cliff
Jayfort, NY 68399",49,1,1,0.8282828282828284,'German Shepherd',Haleigh,0.16666666666666666,0.25,0.4982927774491607,0.05288270377733599,68399, Brazil,BR,SA,4.621439754174666
61,62,Cary,Deckow,"1911 Marlee Stravenue Suite 981
Brayanchester, MI 17257",64,2,1,0.5252525252525253,'Maltese',Arvilla,0.25,0.4166666666666667,0.5090562343198646,0.336779324055666,17257, United States,US,NA,5.798092722461721
62,63,Destiny,Bradtke,"9175 Estelle Wells Suite 663
Nolanberg, AK 61495-0730",26,2,2,0.0606060606060606,'German Shepherd',Alda,0.25,0.25,0.4454953393028332,0.29900596421471176,61495, Poland,PL,EU,2.9521252567677414
63,64,Gonzalo,Streich,"7320 Christina Mall
Hagenesmouth, WV 54198",72,2,1,0.3737373737373737,'German Shepherd',Nola,0.3333333333333333,0.5,0.541807575417627,0.47673956262425443,54198, United Kingdom,GB,EU,6.489169866318685
64,65,Jenifer,Hane,"4563 O'Connell Glen Suite 479
Nelsonmouth, MT 85432-2937",58,1,2,0.0202020202020202,'Bulldog',Bo,0.3333333333333333,0.6666666666666666,0.3653537846492749,0.4286282306163022,85432, Poland,PL,EU,3.9334020606498377
65,66,Whitney,Dickinson,"4074 Blair Freeway Suite 212
Reneeland, VA 53404",47,2,1,0.1818181818181818,'German Shepherd',Elnora,0.4166666666666667,0.5,0.40006527015726034,0.4667992047713717,53404, United States,US,NA,6.2824136043942636
67,68,Adaline,Kozey,"4215 Batz Greens
Labadiehaven, OH 74304",21,2,1,0.7171717171717172,'Shi-ba-inu',Cordell,0.08333333333333333,0.25,0.6109041956472964,0.17415506958250496,74304, Hungary,HU,EU,4.941362857815701
68,69,Nicolette,Mertz,"19707 Kenya Centers Suite 246
Josephineborough, NC 92789",89,2,1,0.98989898989899,'Poodle',Alf,0.6666666666666666,0.5,0.5275949986741999,0.4524850894632207,92789, Philippines,PH,AS,7.660767679759407
69,70,Kathryn,Dickinson,"5605 Kevin Circle
North Ari, HI 36934-9898",59,1,2,0.3939393939393939,'Poodle',Gaetano,0.16666666666666666,0.5,0.4462092316478675,0.2397614314115308,36934, Mexico,MX,NA,3.1325276845667185
70,71,Roxanne,Klocko,"419 Jacobs Lane Suite 561
Marquardtstad, ME 94862-4308",68,1,2,0.6161616161616162,'German Shepherd',Shaun,0.6666666666666666,0.8333333333333334,0.47044485691557714,0.7459244532803182,94862, Ukraine,UA,EU,6.736970952865134
71,72,Makayla,Flatley,"99920 Luz Radial Suite 970
East Kenyonhaven, MN 88749-9749",81,2,2,0.8383838383838385,'Bulldog',Khalid,0.25,0.0,0.5921614620515226,0.1908548707753479,88749, Philippines,PH,AS,3.193964783536753
72,73,Anahi,Ward,"95963 Mayer Mountains Suite 082
Rempelhaven, MN 33434",56,1,1,0.5757575757575758,'German Shepherd',Lorenz,0.08333333333333333,0.4166666666666667,0.37925224876088687,0.14910536779324055,33434, United States,US,NA,4.634764629024758
73,74,Manuela,Upton,"7921 Rice Highway Apt. 127
Zemlakhaven, IN 56645",16,1,2,0.9191919191919191,'Shi-ba-inu',Art,0.16666666666666666,0.3333333333333333,0.5797478940175822,0.2055666003976143,56645, Germany,DE,EU,3.4878728814666253
74,75,Bradly,Schoen,"41284 West Trace
Lake Elishaburgh, IA 20436",53,1,1,0.8181818181818181,'Shi-ba-inu',Dina,0.25,0.08333333333333333,0.3859771146511106,0.20397614314115306,20436, Mexico,MX,NA,5.103396838730875
75,76,Naomi,Sipes,"1203 Gerda Parkway Suite 355
Port Christyville, IN 08396-9348",22,1,1,0.787878787878788,'Poodle',Allen,0.08333333333333333,0.3333333333333333,0.36631447977644976,0.22465208747514911,08396, Germany,DE,EU,5.052801617555833
76,77,Bryana,Lubowitz,"8899 Micheal Fords
Lewisview, MO 12473",44,1,1,0.5353535353535354,'Shi-ba-inu',Pearline,0.5,0.16666666666666666,0.40614151385971,0.5387673956262425,12473, United States,US,NA,6.763231298384882
78,79,Elza,Grady,"795 Schmidt Inlet
Friesentown, AK 67078-5448",55,2,2,0.5050505050505051,'Bulldog',Sylvester,0.16666666666666666,0.3333333333333333,0.4561384543210884,0.18528827037773357,67078, Spain,ES,EU,2.8690087075491943
79,80,Roselyn,Cormier,"797 Solon Extension
Daughertyfort, MS 61825-9788",61,1,1,0.8080808080808081,'Golden Retriever',Jaida,0.25,0.6666666666666666,0.550276378322149,0.225844930417495,61825, Poland,PL,EU,5.928403574739604
81,82,Verlie,Moore,"686 Joannie Flats Suite 015
North Royce, SC 65664",12,2,2,0.36363636363636365,'Bulldog',Georgianna,0.25,0.0,0.560817508719685,0.4250497017892644,65664, United States,US,NA,3.6246526795131064
82,83,Raheem,Heathcote,"92551 Lottie Brooks Suite 620
North Urielfurt, MD 62777-6980",71,1,2,0.29292929292929293,'Bulldog',Laurianne,0.4166666666666667,0.5,0.456470924184633,0.34870775347912525,62777, United States,US,NA,3.9775645643637607
83,84,Dixie,Pouros,"6613 Josiane Turnpike
Emmerichtown, WY 14088",27,1,2,0.09090909090909091,'German Shepherd',Amos,0.08333333333333333,0.3333333333333333,0.5887306994105289,0.12882703777335983,14088, South Korea,KR,AS,2.1949479414130595
84,85,Estell,Herzog,"61433 Von Glen Suite 666
New Jovani, FL 51433",27,1,1,0.5656565656565656,'Maltese',Lonie,0.0,0.16666666666666666,0.5620229669365859,0.04691848906560636,51433, Lithuania,LT,EU,3.9820201555222434
85,86,Osbaldo,Weimann,"49311 Powlowski Hollow
East Abelardo, MA 58770-5151",37,2,1,0.8585858585858586,'Bulldog',Jude,0.16666666666666666,0.5,0.5613988210577845,0.157455268389662,58770, Finland,FI,EU,5.383139086535625
86,87,Fritz,Weimann,"15673 Collins Plain Suite 725
New Jaydon, MT 63473-5118",38,2,1,0.696969696969697,'Maltese',Maureen,0.5,0.25,0.42745629959002185,0.46242544731610336,63473, United States,US,NA,6.724127785824132
87,88,Roxanne,Deckow,"952 Lubowitz Unions
Kubburgh, IN 62378",24,1,1,0.1818181818181818,'Bulldog',Jeramy,0.3333333333333333,0.3333333333333333,0.6001427784690069,0.35864811133200797,62378, United States,US,NA,5.716553405615221
88,89,Maribel,Prosacco,"6586 Prohaska Rapids
Lisandroburgh, NM 60030-3013",25,1,2,0.9090909090909091,'Shi-ba-inu',Kenton,0.25,0.3333333333333333,0.4414506292451099,0.2886679920477137,60030, Italy,IT,EU,3.838546839860207
89,90,Ashtyn,Maggio,"1148 Ansel Mountains
Port Adolphus, FL 56954",37,2,1,0.3737373737373737,'Bulldog',Braeden,0.3333333333333333,0.25,0.5338813306953312,0.18966202783300198,56954, Canada,CA,NA,5.08293348243138
90,91,Leta,Bashirian,"27986 Helga River
North Bessieport, LA 27361",27,2,2,0.2727272727272727,'Poodle',Estella,0.75,0.16666666666666666,0.4291920778346625,0.5526838966202783,27361, South Korea,KR,AS,5.079321603709715
91,92,Eileen,Crona,"568 Green Heights
Lake Jace, IA 83649-4554",74,1,1,0.5757575757575758,'Poodle',Shea,0.08333333333333333,0.16666666666666666,0.32635894507108326,0.08190854870775348,83649, Italy,IT,EU,4.063084048993006
92,93,Kallie,Bode,"22640 Garett Locks Apt. 054
South Hilmachester, WI 35228",28,2,2,0.1212121212121212,'German Shepherd',Ike,0.25,0.4166666666666667,0.41088991780039574,0.2536779324055666,35228, United States,US,NA,2.9634804353014497
93,94,Dax,Schumm,"6788 Etha Streets
Hicklefurt, WY 73134",68,1,1,0.696969696969697,'Bulldog',Neha,0.5,0.5833333333333334,0.5013808717645379,0.4807157057654075,73134, United States,US,NA,7.2045467251292
94,95,Milton,Bins,"061 Aron Ferry
Lake Diamondshire, NH 62453-7786",37,2,1,0.31313131313131315,'Maltese',Vergie,0.25,0.4166666666666667,0.5418381708038428,0.14870775347912524,62453, Sweden,SE,EU,4.8664671645183235
95,96,Cheyanne,Skiles,"1785 Kemmer Well Suite 117
South Milofurt, AZ 56494-4335",75,2,1,0.10101010101010101,'Golden Retriever',Werner,0.16666666666666666,0.08333333333333333,0.48753339996328554,0.35944333996023853,56494, Spain,ES,EU,4.942983527481008
96,97,Humberto,Hegmann,"925 Libbie Street
Okunevaside, CT 44691",70,2,1,0.26262626262626265,'Shi-ba-inu',Diana,0.3333333333333333,0.25,0.4320680441389439,0.2628230616302187,44691, South Korea,KR,AS,5.162653219952748
97,98,Zoe,Daugherty,"965 Heaney Shore Suite 493
Andersonfort, CT 31879-6440",15,1,1,0.42424242424242425,'Maltese',Alexandrine,0.16666666666666666,0.3333333333333333,0.5023068921206681,0.19721669980119283,31879, Spain,ES,EU,4.88208278223453
98,99,Chasity,Hermiston,"9094 Luella Drive
Micahchester, MI 40544",64,2,2,0.3434343434343434,'German Shepherd',Maia,0.3333333333333333,0.25,0.5502845370918066,0.31451292246520873,40544, Poland,PL,EU,3.5684372370536517
100,101,Jerry,Schaden,"415 Vivianne Run Suite 233
Hickleport, VT 52083",61,2,2,0.595959595959596,'Bulldog',Reid,0.5,0.25,0.4186529871295409,0.4433399602385686,52083, Canada,CA,NA,4.537972424043412
101,102,Grant,Deckow,"628 Preston Villages
Yadirahaven, MN 41096",22,2,1,0.0707070707070707,'Bulldog',Clifton,0.5,0.25,0.5151957084871601,0.4218687872763419,41096, Canada,CA,NA,6.023377928299599
103,104,Felton,Hudson,"405 Jaylin Shoal Suite 071
Port Macie, OR 53626",18,1,1,0.9595959595959596,'Bulldog',Deangelo,0.25,0.4166666666666667,0.47982336263691433,0.3137176938369781,53626, Poland,PL,EU,6.110956764247453
104,105,Jamir,Satterfield,"42644 Altenwerth Pines Suite 712
Weimannside, CA 29160",24,1,1,0.1616161616161616,'Maltese',Rudy,0.16666666666666666,0.08333333333333333,0.4954820813021396,0.21709741550695824,29160, France,FR,EU,4.442154571612801
106,107,Suzanne,Waters,"07506 Lubowitz Coves
West Noemie, MS 54525-7351",57,1,1,0.6666666666666667,'Maltese',Jaylen,0.5833333333333334,0.16666666666666666,0.5202235502886164,0.34473161033797217,54525, United States,US,NA,6.399149991640506
107,108,Garfield,Torp,"02589 Litzy Junction
Framihaven, NE 21978",68,2,1,0.4646464646464647,'German Shepherd',Jayson,0.25,0.08333333333333333,0.5767230301670508,0.31491053677932407,21978, South Korea,KR,AS,5.3843449752641455
108,109,Adalberto,McLaughlin,"30496 Bernhard Parks Apt. 045
Laurynberg, AR 73918-6215",13,1,2,0.1919191919191919,'Golden Retriever',Marlee,0.16666666666666666,0.16666666666666666,0.365651579741775,0.0926441351888668,73918, Italy,IT,EU,1.9281473124164341
109,110,Roxane,Sipes,"2250 Albert Plaza
Priceshire, OK 85743-7091",49,2,2,0.404040404040404,'Maltese',Mario,0.25,0.16666666666666666,0.5445672792542885,0.44532803180914515,85743, United States,US,NA,3.89658647719794
112,113,Vincent,Bode,"194 Dicki Mountains Apt. 427
Port Beth, AK 11156",88,2,1,0.030303030303030307,'Golden Retriever',Diamond,0.25,0.08333333333333333,0.4786219838048422,0.2878727634194831,11156, Morocco,MA,AF,4.743749401119138
113,114,Geo,Hayes,"376 Gloria Center
New Cheyanne, FL 36911",53,1,2,0.494949494949495,'Poodle',Jaylen,0.3333333333333333,0.0,0.5108939971852245,0.3224652087475149,36911, Spain,ES,EU,3.462370993791446
114,115,Philip,Rutherford,"75597 O'Reilly Garden
Welchland, CO 33234",28,2,2,0.1717171717171717,'German Shepherd',Delta,0.4166666666666667,0.75,0.3406082362779693,0.27236580516898606,33234, Argentina,AR,SA,3.685121962004419
115,116,Jasper,Ruecker,"248 Elisa Wells Suite 304
Xaviermouth, TX 91601",45,2,2,0.8282828282828284,'Poodle',Stephania,0.4166666666666667,0.5833333333333334,0.5365880025292186,0.34234592445328027,91601, United States,US,NA,4.650921195291835
116,117,Gregory,Ondricka,"828 Bergnaum Station
West Kristastad, DE 45655-1955",75,1,1,0.1919191919191919,'Maltese',Louvenia,0.3333333333333333,0.3333333333333333,0.5575519611642565,0.23658051689860835,45655, Mexico,MX,NA,5.195793220677882
117,118,Otha,Toy,"708 Lemke Mill Suite 883
Darrelport, NJ 77420",73,1,1,0.0202020202020202,'Shi-ba-inu',Chelsie,0.4166666666666667,0.08333333333333333,0.5632202663838294,0.45208747514910536,77420, France,FR,EU,5.808438853848939
118,119,Thelma,Parisian,"427 Zieme Estates Suite 052
Buckridgeburgh, ME 41092-1815",55,1,1,0.686868686868687,'Maltese',Modesto,0.75,0.6666666666666666,0.5362779692822323,0.8079522862823062,41092, Spain,ES,EU,9.12162246794681
119,120,Samson,Stanton,"6187 Darwin Square Suite 387
South Jaycee, PA 21639",34,1,2,0.6666666666666667,'Maltese',Regan,0.25,0.25,0.6139453770371428,0.126441351888668,21639, United States,US,NA,3.036377451258481
120,121,Jocelyn,Kassulke,"41872 Aimee Key
Devanteburgh, WA 57661-5615",62,1,1,0.797979797979798,'Golden Retriever',Melody,0.25,0.5,0.4675199379933506,0.23260437375745527,57661, United States,US,NA,5.695917231002969
121,122,Trycia,Monahan,"701 Cremin Land Suite 279
Lake Claude, AZ 63705",56,1,2,0.31313131313131315,'Golden Retriever',Alicia,0.4166666666666667,0.6666666666666666,0.44474065310951105,0.6469184890656065,63705, Estonia,EE,EU,5.34554592250325
122,123,Jacklyn,Lemke,"1811 Brekke Forges Suite 330
Lake Davidshire, PA 65664-9471",62,1,2,0.1919191919191919,'Shi-ba-inu',Aurore,0.4166666666666667,0.4166666666666667,0.6099924531380668,0.2950298210735587,65664, United States,US,NA,3.7320309293514935
123,124,Ardella,Predovic,"3993 Hauck Fields Apt. 927
South Abagail, AR 99625",70,2,2,0.2727272727272727,'Golden Retriever',Milan,0.25,0.08333333333333333,0.44905460256593305,0.27196819085487073,99625, United States,US,NA,2.8929879720460216
